To_Location,From_Location,Product,Lead_Time_Days,Lead_Time_Std_Dev,,
GBM1,LUEX,NIMBO5,10,1.41,,
LUGI,LUEX,NIMBO5,0.8,1.47,,
LUL1,LUEX,NIMBO5,0.8,1.47,,
BEEX,B616,NIMBO6,137,32.4,,
PLPL,B616,NIMBO6,3,1,,
RSKR,B616,NIMBO6,157,28.48,,
SIS1,B616,NIMBO6,157,26.15,,
TRTU,B616,NIMBO6,160,26.33,,
TRTZ,B616,NIMBO6,160,22.4,,
ZASA,B616,NIMBO6,116,8,,
DEW1,BEEX,NIMBO6,4.7,2.56,,
LUEX,BEEX,NIMBO6,4.2,1.5,,
DEH1,DEW1,NIMBO6,8.5,3.34,,
DEF1,LUEX,NIMBO6,8.4,5.14,,
DEF2,LUEX,NIMBO6,5.8,2.38,,
FRA1,LUEX,NIMBO6,15.5,10.6,,
FRM1,LUEX,NIMBO6,9.7,5.86,,
GBE1,LUEX,NIMBO6,10,1.41,,
GBM1,LUEX,NIMBO6,10,1.41,,
LUGI,LUEX,NIMBO6,0.8,1.47,,
LUL1,LUEX,NIMBO6,0.8,1.47,,
BEEX,B616,NOKANDO,137,32.4,,
PLPL,B616,NOKANDO,3,1,,
RSKR,B616,NOKANDO,157,28.48,,
SIS1,B616,NOKANDO,157,26.15,,
TRTU,B616,NOKANDO,160,26.33,,
TRTZ,B616,NOKANDO,160,22.4,,
ZASA,B616,NOKANDO,116,8,,
DEW1,BEEX,NOKANDO,4.7,2.56,,
LUEX,BEEX,NOKANDO,4.2,1.5,,
DEH1,DEW1,NOKANDO,8.5,3.34,,
DEF1,LUEX,NOKANDO,8.4,5.14,,
DEF2,LUEX,NOKANDO,5.8,2.38,,
FRA1,LUEX,NOKANDO,15.5,10.6,,
FRM1,LUEX,NOKANDO,9.7,5.86,,
GBE1,LUEX,NOKANDO,10,1.41,,
GBM1,LUEX,NOKANDO,10,1.41,,
LUGI,LUEX,NOKANDO,0.8,1.47,,
LUL1,LUEX,NOKANDO,0.8,1.47,,
BEEX,B616,NOKANDO2,137,32.4,,
PLPL,B616,NOKANDO2,3,1,,
RSKR,B616,NOKANDO2,157,28.48,,
SIS1,B616,NOKANDO2,157,26.15,,
TRTU,B616,NOKANDO2,160,26.33,,
TRTZ,B616,NOKANDO2,160,22.4,,
ZASA,B616,NOKANDO2,116,8,,
DEW1,BEEX,NOKANDO2,4.7,2.56,,
LUEX,BEEX,NOKANDO2,4.2,1.5,,
DEH1,DEW1,NOKANDO2,8.5,3.34,,
DEF1,LUEX,NOKANDO2,8.4,5.14,,
DEF2,LUEX,NOKANDO2,5.8,2.38,,
FRA1,LUEX,NOKANDO2,15.5,10.6,,
FRM1,LUEX,NOKANDO2,9.7,5.86,,
GBE1,LUEX,NOKANDO2,10,1.41,,
GBM1,LUEX,NOKANDO2,10,1.41,,
LUGI,LUEX,NOKANDO2,0.8,1.47,,
LUL1,LUEX,NOKANDO2,0.8,1.47,,
BEEX,B616,NOKANDO4,137,32.4,,
PLPL,B616,NOKANDO4,3,1,,
RSKR,B616,NOKANDO4,157,28.48,,
SIS1,B616,NOKANDO4,157,26.15,,
TRTU,B616,NOKANDO4,160,26.33,,
TRTZ,B616,NOKANDO4,160,22.4,,
ZASA,B616,NOKANDO4,116,8,,
DEW1,BEEX,NOKANDO4,4.7,2.56,,
LUEX,BEEX,NOKANDO4,4.2,1.5,,
DEH1,DEW1,NOKANDO4,8.5,3.34,,
DEF1,LUEX,NOKANDO4,8.4,5.14,,
DEF2,LUEX,NOKANDO4,5.8,2.38,,
FRA1,LUEX,NOKANDO4,15.5,10.6,,
FRM1,LUEX,NOKANDO4,9.7,5.86,,
GBE1,LUEX,NOKANDO4,10,1.41,,
GBM1,LUEX,NOKANDO4,10,1.41,,
LUGI,LUEX,NOKANDO4,0.8,1.47,,
LUL1,LUEX,NOKANDO4,0.8,1.47,,
BEEX,B616,NOKANDO6,137,32.4,,
PLPL,B616,NOKANDO6,3,1,,
RSKR,B616,NOKANDO6,157,28.48,,
SIS1,B616,NOKANDO6,157,26.15,,
TRTU,B616,NOKANDO6,160,26.33,,
TRTZ,B616,NOKANDO6,160,22.4,,
ZASA,B616,NOKANDO6,116,8,,
DEW1,BEEX,NOKANDO6,4.7,2.56,,
LUEX,BEEX,NOKANDO6,4.2,1.5,,
DEH1,DEW1,NOKANDO6,8.5,3.34,,
DEF1,LUEX,NOKANDO6,8.4,5.14,,
DEF2,LUEX,NOKANDO6,5.8,2.38,,
FRA1,LUEX,NOKANDO6,15.5,10.6,,
FRM1,LUEX,NOKANDO6,9.7,5.86,,
GBE1,LUEX,NOKANDO6,10,1.41,,
GBM1,LUEX,NOKANDO6,10,1.41,,
LUGI,LUEX,NOKANDO6,0.8,1.47,,
LUL1,LUEX,NOKANDO6,0.8,1.47,,
BEEX,B616,NUNKO,137,32.4,,
PLPL,B616,NUNKO,3,1,,
RSKR,B616,NUNKO,157,28.48,,
SIS1,B616,NUNKO,157,26.15,,
TRTU,B616,NUNKO,160,26.33,,
TRTZ,B616,NUNKO,160,22.4,,
ZASA,B616,NUNKO,116,8,,
DEW1,BEEX,NUNKO,4.7,2.56,,
LUEX,BEEX,NUNKO,4.2,1.5,,
